FeatureID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM
S391,2132,Amino Acid,Urea cycle; Arginine and Proline Metabolism,499,RHGKLRLOHDJJDR-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(N)=O,citrulline,citrulline,372-75-8,810,HMDB0000904,C00327,9750
S397,60,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",337,ROHFNLRQFUQHCH-YFKPBYRVSA-N,O=C([C@H](CC(C)C)N)O,leucine,leucine,61-90-5,,HMDB0000687,C00123,6106
S407,1301,Amino Acid,Lysine Metabolism,107,KDXKERNSBIXSRK-UHFFFAOYSA-N,NC(C(O)=O)CCCCN,lysine,lysine,56-87-1,5747,HMDB0003405,"C00739,C00047",5962
S409,1303,Energy,TCA Cycle,1468,BJEPYKJPYRNKOW-UHFFFAOYSA-N,OC(C(O)=O)CC(O)=O,malate,malate,6915-15-7,510,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",525
S415,1302,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",440,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(O)=O,methionine,methionine,63-68-3,5907,HMDB0000696,C00073,6137
S418,1496,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1791,ZIYVHBGGAOATLY-UHFFFAOYSA-N,O=C(C(C(O)=O)C)O,methylmalonate (MMA),methylmalonate (MMA),516-05-2,473,HMDB0000202,C02170,487
S424,1336,Lipid,Long Chain Saturated Fatty Acid,1527,IPCSVZSSVZVIGE-UHFFFAOYSA-N,OC(CCCCCCCCCCCCCCC)=O,palmitate (16:0),palmitate (16:0),57-10-3,960,HMDB0000220,C00249,985
S432,594,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4323,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(C1=CN=CC=C1)=O,nicotinamide,nicotinamide,98-92-0,911,HMDB0001406,C00153,936
S437,12035,Lipid,Medium Chain Fatty Acid,1509,FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(O)=O,pelargonate (9:0),pelargonate (9:0),112-05-0,4574394,HMDB0000847,C01601,8158
S439,1358,Lipid,Long Chain Saturated Fatty Acid,1531,QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,stearate (18:0),stearate (18:0),57-11-4,5091,HMDB0000827,C01530,5281
