FeatureID,LIB_ID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
F100000656,209,19324,Lipid,Lysophospholipid,NAMED,MXAFDFDAIFZFET-CLBYPKMISA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-stearoyl-GPI (18:0),796963-93-4,21403067,HMDB0240261,,"7,158,113,542,607,490",Neg
F100000657,402,19130,Lipid,Phosphatidylcholine (PC),NAMED,KILNVBDSWZSGLL-KXQOOQHDSA-N,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,"1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,398235,HMDB0000564,D03585,452110,Pos Late
F100000665,209,44675,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),NAMED,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,docosahexaenoate (DHA; 22:6n3),6217-54-5,393183,HMDB0002183,C06429,445580,Neg
F100000700,305,21365,Carbohydrate,Aminosugar Metabolism,NAMED,NHZWETQZLORZIR-UHFFFAOYSA-N,OC(C(O)C(O)COS(=O)(O)=O)C(C=O)NC(C)=O,N-acetylglucosamine 6-sulfate,10357-00-3,3615280,HMDB0000814,C04132,440235,Polar
F100000702,305,21296,Carbohydrate,Aminosugar Metabolism,NAMED,KRCSEEITTBNSQS-UHFFFAOYSA-N,OC(C(O)COS(=O)(O)=O)C(O)C(N)C=O,glucosamine 6-sulfate,91674-26-9,2578069,HMDB0000592,,72361,Polar
F100000706,209,22132,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NAMED,LVRFTAZAXQPQHI-UHFFFAOYSA-N,OC(C(CC(C)C)O)=O,alpha-hydroxyisocaproate,10303-64-7,75520,"HMDB0000665,HMDB00746,HMDB0000624",C03264,"8,369,792,779,439,960",Neg
F100000707,305,20676,Lipid,"Fatty Acid, Dicarboxylate",NAMED,VZCYOOQTPOCHFL-UHFFFAOYSA-N,O=C(C=CC(O)=O)O,maleate,110-16-7,392248,HMDB0000176,C01384,444266,Polar
F100000708,209,44656,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NAMED,GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(O)=O,isovalerate (i5:0),503-74-2,10001,HMDB0000718,C08262,10430,Neg
F100000711,209,44620,Xenobiotics,Benzoate Metabolism,NAMED,HOFGLAYWQRGTKC-UHFFFAOYSA-N,O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O,4-acetylphenol sulfate,,3872009,,,4684006,Neg
F100000715,400,48114,Amino Acid,Guanidino and Acetamido Metabolism,NAMED,CHJJGSNFBQVOTG-UHFFFAOYSA-N,N=C(N)NC,1-methylguanidine,22661-87-6,28576,HMDB0001522,C02294,10111,Pos Early
