Analysis,CatID,GroupCode,_Imputation_,SDF1_Observed,SDF1
Group-only PMM,29,C,11,518.66,518.66
Group-only PMM,27,D,11,,410.73
Group-only PMM,21,D,11,942.41,942.41
Group-only PMM,25,C,11,1076.91,1076.91
Group-only PMM,13,C,11,693.81,693.81
Group-only PMM,9,C,11,730.21,730.21
Group-only PMM,3,D,11,410.73,410.73
Group-only PMM,24,D,11,1793.84,1793.84
Group-only PMM,8,C,11,,1387.6
Group-only PMM,6,C,11,59.34,59.34
Group-only PMM,11,C,11,745.5,745.5
Group-only PMM,2,D,11,1794.45,1794.45
Group-only PMM,7,C,11,547.82,547.82
Group-only PMM,1,C,11,617.83,617.83
Group-only PMM,10,C,11,59.34,59.34
Group-only PMM,23,C,11,452.94,452.94
Group-only PMM,16,C,11,173.83,173.83
Group-only PMM,20,C,11,908.79,908.79
Group-only PMM,18,D,12,686.49,686.49
Group-only PMM,4,C,12,1041.31,1041.31
Group-only PMM,19,D,12,1412.35,1412.35
Group-only PMM,26,D,12,1205.1,1205.1
Group-only PMM,17,C,12,253.24,253.24
Group-only PMM,22,C,12,400.74,400.74
Group-only PMM,5,C,12,708.48,708.48
Group-only PMM,14,C,12,1387.6,1387.6
Group-only PMM,28,C,12,356.3,356.3
Group-only PMM,12,C,12,762.73,762.73
Group-only PMM,15,C,12,1318.05,1318.05
Group-only PMM,29,C,12,518.66,518.66
Group-only PMM,27,D,12,,942.41
Group-only PMM,21,D,12,942.41,942.41
Group-only PMM,25,C,12,1076.91,1076.91
Group-only PMM,13,C,12,693.81,693.81
Group-only PMM,9,C,12,730.21,730.21
Group-only PMM,3,D,12,410.73,410.73
Group-only PMM,24,D,12,1793.84,1793.84
Group-only PMM,8,C,12,,708.48
Group-only PMM,6,C,12,59.34,59.34
Group-only PMM,11,C,12,745.5,745.5
Group-only PMM,2,D,12,1794.45,1794.45
Group-only PMM,7,C,12,547.82,547.82
Group-only PMM,1,C,12,617.83,617.83
Group-only PMM,10,C,12,59.34,59.34
Group-only PMM,23,C,12,452.94,452.94
Group-only PMM,16,C,12,173.83,173.83
Group-only PMM,20,C,12,908.79,908.79
Group-only PMM,18,D,13,686.49,686.49
Group-only PMM,4,C,13,1041.31,1041.31
Group-only PMM,19,D,13,1412.35,1412.35
Group-only PMM,26,D,13,1205.1,1205.1
Group-only PMM,17,C,13,253.24,253.24
Group-only PMM,22,C,13,400.74,400.74
Group-only PMM,5,C,13,708.48,708.48
Group-only PMM,14,C,13,1387.6,1387.6
Group-only PMM,28,C,13,356.3,356.3
Group-only PMM,12,C,13,762.73,762.73
Group-only PMM,15,C,13,1318.05,1318.05
Group-only PMM,29,C,13,518.66,518.66
Group-only PMM,27,D,13,,686.49
Group-only PMM,21,D,13,942.41,942.41
Group-only PMM,25,C,13,1076.91,1076.91
